,0,1
42926.82843069603,0.15,3.1900000000000026
44000.00140800005,0.15,3.2700000000000027
45128.20697961875,0.15,3.3600000000000025
46315.78752354578,0.15,3.4400000000000026
47567.565921986905,0.15,3.540000000000003
48888.889975308666,0.15,3.640000000000003
50285.713366204094,0.15,3.7400000000000033
51764.70539515571,0.15,3.850000000000003
53333.333333333336,0.15,3.960000000000003
55000.00055000001,0.15,4.090000000000003
56774.19472049951,0.15,4.220000000000004
58666.66510222226,0.15,4.360000000000004
60689.65785112973,0.15,4.510000000000004
62857.1464489798,0.15,4.670000000000004
65185.18132235962,0.15,4.840000000000004
67692.30894201185,0.15,5.030000000000005
70399.9972966401,0.15,5.230000000000005
73333.33675555572,0.15,5.450000000000005
76521.7380657845,0.15,5.690000000000005
80000.0,0.15,5.940000000000006
83809.52508662133,0.15,6.230000000000006
88000.0028160001,0.15,6.540000000000006
92631.57504709157,0.15,6.880000000000006
97777.77995061733,0.15,7.270000000000007
103529.41079031142,0.15,7.690000000000007
110000.00110000002,0.15,8.170000000000007
117333.33020444452,0.15,8.720000000000008
125714.2928979596,0.15,9.340000000000009
135384.61971692322,0.15,10.06000000000001
146666.67136000015,0.15,10.90000000000001
160000.0,0.15,11.880000000000011
176000.0056320002,0.15,13.070000000000013
