,0,1
54857.142857142855,0.15,4.080000000000004
56470.58823529411,0.15,4.200000000000004
58181.81818181818,0.15,4.320000000000004
60000.0,0.15,4.460000000000004
61935.48387096774,0.15,4.600000000000004
64000.0,0.15,4.760000000000004
66206.89655172413,0.15,4.920000000000004
68571.42857142858,0.15,5.100000000000005
71111.11111111111,0.15,5.280000000000005
73846.15384615384,0.15,5.4900000000000055
76799.99814033513,0.15,5.710000000000005
76800.0,0.15,5.710000000000005
80000.0,0.15,5.940000000000006
83478.2608695652,0.15,6.2000000000000055
87272.72727272728,0.15,6.480000000000006
91428.57142857143,0.15,6.790000000000006
96000.0,0.15,7.130000000000006
96000.00102818014,0.15,7.130000000000006
127999.99392032652,0.15,9.510000000000009
192000.00205636027,0.15,14.260000000000012
